date,/m/026h1w,overlap
2020-01-01,42.0,
2020-01-02,40.0,
2020-01-03,35.0,
2020-01-04,44.0,
2020-01-05,39.0,
2020-01-06,27.0,
2020-01-07,27.0,
2020-01-08,25.0,
2020-01-09,27.0,
2020-01-10,29.0,
2020-01-11,34.0,
2020-01-12,34.0,
2020-01-13,27.0,
2020-01-14,25.0,
2020-01-15,25.0,
2020-01-16,29.0,
2020-01-17,29.0,
2020-01-18,37.0,
2020-01-19,32.0,
2020-01-20,30.0,
2020-01-21,25.0,
2020-01-22,23.0,
2020-01-23,27.0,
2020-01-24,27.0,
2020-01-25,37.0,
2020-01-26,34.0,
2020-01-27,25.0,
2020-01-28,23.0,
2020-01-29,25.0,
2020-01-30,22.0,
2020-01-31,27.0,
2020-02-01,34.0,
2020-02-02,34.0,
2020-02-03,27.0,
2020-02-04,25.0,
2020-02-05,25.0,
2020-02-06,27.0,
2020-02-07,29.0,
2020-02-08,34.0,
2020-02-09,32.0,
2020-02-10,23.0,
2020-02-11,27.0,
2020-02-12,27.0,
2020-02-13,27.0,
2020-02-14,29.0,
2020-02-15,34.0,
2020-02-16,34.0,
2020-02-17,29.0,
2020-02-18,25.0,1.0
2020-02-19,25.0,1.0
2020-02-20,25.0,1.0
2020-02-21,29.0,1.0
2020-02-22,33.0,1.0
2020-02-23,32.0,1.0
2020-02-24,26.0,1.0
2020-02-25,24.0,1.0
2020-02-26,25.0,1.0
2020-02-27,29.0,1.0
2020-02-28,29.0,1.0
2020-02-29,35.0,1.0
2020-03-01,34.0,1.0
2020-03-02,28.0,1.0
2020-03-03,26.0,1.0
2020-03-04,25.0,1.0
2020-03-05,27.0,1.0
2020-03-06,28.0,1.0
2020-03-07,34.0,1.0
2020-03-08,32.0,1.0
2020-03-09,26.0,1.0
2020-03-10,23.0,1.0
2020-03-11,24.0,1.0
2020-03-12,21.0,1.0
2020-03-13,23.0,1.0
2020-03-14,25.0,1.0
2020-03-15,25.0,1.0
2020-03-16,18.0,1.0
2020-03-17,19.0,1.0
2020-03-18,22.0,1.0
2020-03-19,20.0,1.0
2020-03-20,20.0,1.0
2020-03-21,19.0,1.0
2020-03-22,17.0,1.0
2020-03-23,16.0,1.0
2020-03-24,14.0,1.0
2020-03-25,17.0,1.0
2020-03-26,17.0,1.0
2020-03-27,16.0,1.0
2020-03-28,19.0,1.0
2020-03-29,19.0,1.0
2020-03-30,17.0,1.0
2020-03-31,18.0,1.0
2020-04-01,19.0,1.0
2020-04-02,17.0,1.0
2020-04-03,18.0,1.0
2020-04-04,18.0,1.0
2020-04-05,19.0,1.0
2020-04-06,17.0,1.0
2020-04-07,16.0,1.0
2020-04-08,18.0,1.0
2020-04-09,18.0,1.0
2020-04-10,18.0,1.0
2020-04-11,18.0,1.0
2020-04-12,15.0,1.0
2020-04-13,19.0,1.0
2020-04-14,18.0,1.0
2020-04-15,28.0,1.0
2020-04-16,26.0,1.0
2020-04-17,23.0,1.0
2020-04-18,24.0,1.0
2020-04-19,23.0,1.0
2020-04-20,21.0,1.0
2020-04-21,20.0,1.0
2020-04-22,21.0,1.0
2020-04-23,21.0,1.0
2020-04-24,24.0,1.0
2020-04-25,21.0,1.0
2020-04-26,23.0,1.0
2020-04-27,24.0,1.0
2020-04-28,20.0,1.0
2020-04-29,22.0,1.0
2020-04-30,25.0,1.0
2020-05-01,29.0,1.0
2020-05-02,29.0,1.0
2020-05-03,29.0,1.0
2020-05-04,31.0,1.0
2020-05-05,27.0,1.0
2020-05-06,27.0,1.0
2020-05-07,27.0,1.0
2020-05-08,31.0,1.0
2020-05-09,34.0,1.0
2020-05-10,27.0,1.0
2020-05-11,32.0,1.0
2020-05-12,30.0,1.0
2020-05-13,33.0,1.0
2020-05-14,31.0,1.0
2020-05-15,51.0,1.0
2020-05-16,82.0,1.0
2020-05-17,56.0,1.0
2020-05-18,51.0,1.0
2020-05-19,54.0,1.0
2020-05-20,46.0,1.0
2020-05-21,40.0,1.0
2020-05-22,38.0,1.0
2020-05-23,42.0,1.0
2020-05-24,37.0,1.0
2020-05-25,37.0,1.0
2020-05-26,34.0,1.0
2020-05-27,36.0,1.0
2020-05-28,37.0,1.0
2020-05-29,41.0,
2020-05-30,40.0,
2020-05-31,35.0,
2020-06-01,33.0,
2020-06-02,34.0,
2020-06-03,35.0,
2020-06-04,35.0,
2020-06-05,65.0,
2020-06-06,53.0,
2020-06-07,47.0,
2020-06-08,43.0,
2020-06-09,38.0,
2020-06-10,38.0,
2020-06-11,39.0,
2020-06-12,42.0,
2020-06-13,45.0,
2020-06-14,44.0,
2020-06-15,35.0,
2020-06-16,36.0,
2020-06-17,45.0,
2020-06-18,47.0,
2020-06-19,42.0,
2020-06-20,48.0,
2020-06-21,38.0,
2020-06-22,37.0,
2020-06-23,35.0,
2020-06-24,37.0,
2020-06-25,30.0,
2020-06-26,34.0,
2020-06-27,37.0,
2020-06-28,34.0,
2020-06-29,31.0,
2020-06-30,30.0,
2020-07-01,30.0,
2020-07-02,30.0,
2020-07-03,35.0,
2020-07-04,31.0,
2020-07-05,30.0,
2020-07-06,30.0,
2020-07-07,24.0,
2020-07-08,30.0,
2020-07-09,30.0,
2020-07-10,30.0,
2020-07-11,34.0,
2020-07-12,32.0,
2020-07-13,28.0,
2020-07-14,30.0,
2020-07-15,28.0,
2020-07-16,29.0,
2020-07-17,30.0,
2020-07-18,30.0,
2020-07-19,28.0,
2020-07-20,25.0,
2020-07-21,26.0,
2020-07-22,26.0,
2020-07-23,29.0,
2020-07-24,30.0,
2020-07-25,33.0,
2020-07-26,32.0,
